HGNC ID	Approved symbol	Ensembl gene ID	Ensembl ID(supplied by Ensembl)	NCBI Gene ID(supplied by NCBI)
HGNC:5	A1BG	ENSG00000121410	ENSG00000121410	1
HGNC:37133	A1BG-AS1	ENSG00000268895	ENSG00000268895	503538
HGNC:24086	A1CF	ENSG00000148584	ENSG00000148584	29974
HGNC:6	A1S9T			
HGNC:7	A2M	ENSG00000175899	ENSG00000175899	2
HGNC:27057	A2M-AS1	ENSG00000245105	ENSG00000245105	144571
HGNC:23336	A2ML1	ENSG00000166535	ENSG00000166535	144568
HGNC:41022	A2ML1-AS1	ENSG00000256661	ENSG00000256661	100874108
HGNC:41523	A2ML1-AS2	ENSG00000256904	ENSG00000256904	106478979
HGNC:8	A2MP1	ENSG00000256069	ENSG00000256069	3
HGNC:9	A2MR			
HGNC:10	A2MRAP			
HGNC:30005	A3GALT2	ENSG00000184389	ENSG00000184389	127550
HGNC:18149	A4GALT	ENSG00000128274	ENSG00000128274	53947
HGNC:17968	A4GNT	ENSG00000118017	ENSG00000118017	51146
HGNC:1	A12M1			
HGNC:2	A12M2			
HGNC:3	A12M3			
HGNC:4	A12M4			
HGNC:11	AA			
HGNC:13666	AAAS	ENSG00000094914	ENSG00000094914	8086
HGNC:12	AABT			
HGNC:13	AAC1			
HGNC:14	AAC2			
HGNC:21298	AACS	ENSG00000081760	ENSG00000081760	65985
HGNC:18226	AACSP1	ENSG00000250420	ENSG00000250420	729522
HGNC:13792	AACT			
HGNC:17	AADAC	ENSG00000114771	ENSG00000114771	13
HGNC:24427	AADACL2	ENSG00000197953	ENSG00000197953	344752
HGNC:50301	AADACL2-AS1	ENSG00000242908	ENSG00000242908	101928142
HGNC:32037	AADACL3	ENSG00000188984	ENSG00000188984	126767
HGNC:32038	AADACL4	ENSG00000204518	ENSG00000204518	343066
HGNC:50305	AADACP1	ENSG00000240602	ENSG00000240602	201651
HGNC:17929	AADAT	ENSG00000109576	ENSG00000109576	51166
HGNC:25662	AAGAB	ENSG00000103591	ENSG00000103591	79719
HGNC:19679	AAK1	ENSG00000115977	ENSG00000115977	22848
HGNC:30205	AAMDC	ENSG00000087884	ENSG00000087884	28971
HGNC:18	AAMP	ENSG00000127837	ENSG00000127837	14
HGNC:19	AANAT	ENSG00000129673	ENSG00000129673	15
HGNC:15886	AAR2	ENSG00000131043	ENSG00000131043	25980
HGNC:33842	AARD	ENSG00000205002	ENSG00000205002	441376
HGNC:20	AARS1	ENSG00000090861	ENSG00000090861	16
HGNC:49894	AARS1P1	ENSG00000249038	ENSG00000249038	106480683
HGNC:21022	AARS2	ENSG00000124608	ENSG00000124608	57505
HGNC:28417	AARSD1	ENSG00000266967	ENSG00000266967	80755
HGNC:54994	AARSD1P1	ENSG00000234969		117981788
HGNC:23993	AASDH	ENSG00000157426	ENSG00000157426	132949
HGNC:14235	AASDHPPT	ENSG00000149313	ENSG00000149313	60496
HGNC:17366	AASS	ENSG00000008311	ENSG00000008311	10157
HGNC:51526	AATBC	ENSG00000215458	ENSG00000215458	284837
HGNC:19235	AATF	ENSG00000275700	ENSG00000275700	26574
HGNC:21	AATK	ENSG00000181409	ENSG00000181409	9625
HGNC:22	AAVS1			17
HGNC:49667	ABALON	ENSG00000281376	ENSG00000281376	103021294
HGNC:23	ABAT	ENSG00000183044	ENSG00000183044	18
HGNC:24	ABC1			
HGNC:25	ABC2			
HGNC:26	ABC3			
HGNC:28	ABC7			
